Report_Period,Year,Quarter,Quarter_Num,Report_Date,Region,New_Cases,Cumulative_Cases,PLHIV_On_ART,Lost_To_Followup,LTFU_Percent,Deaths,VL_Tested,VL_Tested_Percent,VL_Suppressed,VL_Suppression_Percent,Percent_Of_Quarter,National_Total_Cases,National_Total_Deaths,National_PLHIV_On_ART,National_Diagnosed_PLHIV,National_VL_Suppression,Region_Area_km2,Centroid_Lat,Centroid_Lon,Month,Days_Since_Start,Is_2024,Is_2025,Cases_Per_km2,Treatment_Coverage_Rate,Case_Fatality_Rate,Regional_Share_National,Cases_Previous_Quarter,Cases_Growth_Rate,Deaths_Previous_Quarter,Deaths_Growth_Rate,Cases_MA2,Deaths_MA2,Cumulative_Deaths,Risk_Category,Treatment_Gap,VL_Performance_Score,Cases_QoQ_Change,Deaths_QoQ_Change,Cases_YoY,Is_Latest_Quarter
2024-Q1,2024,Q1,1,31/03/2024,Region IV-B,0,2010,759,434,36,0,462,41,386,84,2,3409,302,79643,122241,88,27005.92753,11.35816577,119.9052135,3,0,1,0,0,37.76119403,0,0,0,0,0,0,0,0,0,Low,1251,66.8,0,0,0,0
2024-Q2,2024,Q2,2,30/06/2024,Region IV-B,0,2152,883,395,31,0,331,37,271,82,3,5321,308,84086,127217,88,27005.92753,11.35816577,119.9052135,6,91,1,0,0,41.03159851,0,0,0,0,0,0,0,0,0,Low,1269,64,0,0,0,0
2024-Q3,2024,Q3,3,30/09/2024,Region IV-B,0,2295,1027,340,25,0,443,43,387,87,3,4595,459,88544,131335,88,27005.92753,11.35816577,119.9052135,9,183,1,0,0,44.74945534,0,0,0,0,0,0,0,0,0,Low,1268,69.4,0,0,0,0
2024-Q4,2024,Q4,4,31/12/2024,Region IV-B,0,2422,1141,334,23,98,547,48,475,87,3,4245,419,90854,135026,88,27005.92753,11.35816577,119.9052135,12,275,1,0,0,47.10982659,0,0,0,0,0,0,0,49,98,Low,1281,71.4,0,98,0,0
2025-Q1,2025,Q1,1,31/03/2025,Region IV-B,0,2585,1205,372,24,94,497,41,417,84,3,5101,145,92712,139610,88,27005.92753,11.35816577,119.9052135,3,365,0,1,0,46.61508704,0,0,0,0,98,-4.081632653,0,96,192,Low,1380,66.8,0,-4,0,0
2025-Q2,2025,Q2,2,30/06/2025,Region IV-B,0,2706,1247,409,24,98,500,40,415,83,2,4979,161,95556,144192,87,27005.92753,11.35816577,119.9052135,6,456,0,1,0,46.08277901,0,0,0,0,94,4.255319149,0,96,290,Low,1459,65.8,0,4,0,0
2025-Q3,2025,Q3,3,30/09/2025,Region IV-B,0,2852,1240,522,28,98,461,37,447,97,3,5583,125,99696,149375,97,27005.92753,11.35816577,119.9052135,9,548,0,1,0,43.47826087,0,0,0,0,98,0,0,98,388,Low,1612,73,0,0,0,1
2024-Q1,2024,Q1,1,31/03/2024,Region IX,0,2056,794,423,35,0,186,15,158,85,1,3409,302,79643,122241,88,14390.22277,7.842472885,122.8603836,3,0,1,0,0,38.61867704,0,0,0,0,0,0,0,0,0,Low,1262,57,0,0,0,0
2024-Q2,2024,Q2,2,30/06/2024,Region IX,0,2160,728,520,42,0,21,3,15,71,2,5321,308,84086,127217,88,14390.22277,7.842472885,122.8603836,6,91,1,0,0,33.7037037,0,0,0,0,0,0,0,0,0,Low,1432,43.8,0,0,0,0
2024-Q3,2024,Q3,3,30/09/2024,Region IX,0,2214,987,374,27,0,26,3,20,77,1,4595,459,88544,131335,88,14390.22277,7.842472885,122.8603836,9,183,1,0,0,44.5799458,0,0,0,0,0,0,0,0,0,Low,1227,47.4,0,0,0,0
2024-Q4,2024,Q4,4,31/12/2024,Region IX,0,2308,999,407,29,147,24,2,17,71,2,4245,419,90854,135026,88,14390.22277,7.842472885,122.8603836,12,275,1,0,0,43.28422877,0,0,0,0,0,0,0,73.5,147,Low,1309,43.4,0,147,0,0
2025-Q1,2025,Q1,1,31/03/2025,Region IX,0,2449,1287,328,20,143,167,13,114,68,2,5101,145,92712,139610,88,14390.22277,7.842472885,122.8603836,3,365,0,1,0,52.55206207,0,0,0,0,147,-2.721088435,0,145,290,Low,1162,46,0,-4,0,0
2025-Q2,2025,Q2,2,30/06/2025,Region IX,0,2592,1261,428,25,143,386,31,300,78,1,4979,161,95556,144192,87,14390.22277,7.842472885,122.8603836,6,456,0,1,0,48.64969136,0,0,0,0,143,0,0,143,433,Low,1331,59.2,0,0,0,0
2025-Q3,2025,Q3,3,30/09/2025,Region IX,0,2799,1215,627,34,147,433,36,398,92,4,5583,125,99696,149375,97,14390.22277,7.842472885,122.8603836,9,548,0,1,0,43.40836013,0,0,0,0,143,2.797202797,0,145,580,Low,1584,69.6,0,4,0,1
2024-Q1,2024,Q1,1,31/03/2024,Region V,0,2737,1454,437,23,0,633,60,513,81,4,3409,302,79643,122241,88,17378.89045,13.27296299,123.4739838,3,0,1,0,0,53.12385824,0,0,0,0,,0,0,0,0,Low,1283,72.6,0,0,0,0
2024-Q2,2024,Q2,2,30/06/2024,Region V,0,2850,1388,424,23,0,591,43,458,77,2,5321,308,84086,127217,88,17378.89045,13.27296299,123.4739838,6,91,1,0,0,48.70175439,0,0,0,0,0,0,0,0,0,Low,1462,63.4,0,0,0,0
2024-Q3,2024,Q3,3,30/09/2024,Region V,0,3063,1421,477,25,0,935,66,785,84,5,4595,459,88544,131335,88,17378.89045,13.27296299,123.4739838,9,183,1,0,0,46.39242573,0,0,0,0,0,0,0,0,0,Low,1642,76.8,0,0,0,0
2024-Q4,2024,Q4,4,31/12/2024,Region V,0,3198,1410,581,29,202,955,68,814,85,3,4245,419,90854,135026,88,17378.89045,13.27296299,123.4739838,12,275,1,0,0,44.09005629,0,0,0,0,0,0,0,101,202,Low,1788,78.2,0,202,0,0
2025-Q1,2025,Q1,1,31/03/2025,Region V,0,3398,1629,431,21,194,972,60,812,84,4,5101,145,92712,139610,88,17378.89045,13.27296299,123.4739838,3,365,0,1,0,47.93996469,0,0,0,0,202,-3.96039604,0,198,396,Low,1769,74.4,0,-8,0,0
2025-Q2,2025,Q2,2,30/06/2025,Region V,0,3526,1664,507,23,194,1166,70,985,84,3,4979,161,95556,144192,87,17378.89045,13.27296299,123.4739838,6,456,0,1,0,47.19228588,0,0,0,0,194,0,0,194,590,Low,1862,78.4,0,0,0,0
2025-Q3,2025,Q3,3,30/09/2025,Region V,0,3693,1734,567,23,202,1170,67,1100,94,3,5583,125,99696,149375,97,17378.89045,13.27296299,123.4739838,9,548,0,1,0,46.95369618,0,0,0,0,194,4.12371134,0,198,792,Low,1959,83.2,0,8,0,1
2024-Q1,2024,Q1,1,31/03/2024,Region VI,0,7807,4912,862,15,0,2766,49,2456,89,6,3409,302,79643,122241,88,20164.06901,10.83439784,122.6535416,3,0,1,0,0,62.9178942,0,0,0,0,,0,0,0,0,Low,2895,73,0,0,0,0
2024-Q2,2024,Q2,2,30/06/2024,Region VI,0,8259,5347,757,12,0,3218,60,2851,89,8,5321,308,84086,127217,88,20164.06901,10.83439784,122.6535416,6,91,1,0,0,64.74149413,0,0,0,0,0,0,0,0,0,Low,2912,77.4,0,0,0,0
2024-Q3,2024,Q3,3,30/09/2024,Region VI,0,8607,5610,840,13,0,3278,58,2901,88,7,4595,459,88544,131335,88,20164.06901,10.83439784,122.6535416,9,183,1,0,0,65.17950505,0,0,0,0,0,0,0,0,0,Low,2997,76,0,0,0,0
2024-Q4,2024,Q4,4,31/12/2024,Region VI,0,8919,5765,969,14,552,3705,64,3310,89,7,4245,419,90854,135026,88,20164.06901,10.83439784,122.6535416,12,275,1,0,0,64.63729118,0,0,0,0,0,0,0,276,552,Low,3154,79,0,552,0,0
2025-Q1,2025,Q1,1,31/03/2025,Region VI,0,8242,4271,597,12,337,2724,64,2422,89,5,5101,145,92712,139610,88,20164.06901,10.83439784,122.6535416,3,365,0,1,0,51.81994661,0,0,0,0,552,-38.94927536,0,444.5,889,Low,3971,79,0,-215,0,0
2025-Q2,2025,Q2,2,30/06/2025,Region VI,0,6490,4458,630,12,525,3145,71,2779,88,5,4979,161,95556,144192,87,20164.06901,10.83439784,122.6535416,6,456,0,1,0,68.69029276,0,0,0,0,337,55.78635015,0,431,1414,Low,2032,81.2,0,188,0,0
2025-Q3,2025,Q3,3,30/09/2025,Region VI,0,6739,5028,673,12,552,3431,68,3359,98,4,5583,125,99696,149375,97,20164.06901,10.83439784,122.6535416,9,548,0,1,0,74.61047633,0,0,0,0,525,5.142857143,0,538.5,1966,Low,1711,86,0,27,0,1
2024-Q1,2024,Q1,1,31/03/2024,Region VII,0,10535,6199,2471,29,0,2369,33,2078,88,7,3409,302,79643,122241,88,14166.17907,9.923060351,123.6232801,3,0,1,0,0,58.84195539,0,0,0,0,,0,0,0,0,Low,4336,66,0,0,0,0
2024-Q2,2024,Q2,2,30/06/2024,Region VII,0,10909,6648,2376,26,0,2498,38,2215,89,7,5321,308,84086,127217,88,14166.17907,9.923060351,123.6232801,6,91,1,0,0,60.94050784,0,0,0,0,0,0,0,0,0,Low,4261,68.6,0,0,0,0
2024-Q3,2024,Q3,3,30/09/2024,Region VII,0,11301,6907,2479,26,0,2669,39,2358,88,8,4595,459,88544,131335,88,14166.17907,9.923060351,123.6232801,9,183,1,0,0,61.11848509,0,0,0,0,0,0,0,0,0,Low,4394,68.4,0,0,0,0
2024-Q4,2024,Q4,4,31/12/2024,Region VII,0,11539,6950,2690,28,646,2924,42,2566,88,6,4245,419,90854,135026,88,14166.17907,9.923060351,123.6232801,12,275,1,0,0,60.23052258,0,0,0,0,0,0,0,323,646,Low,4589,69.6,0,646,0,0
2025-Q1,2025,Q1,1,31/03/2025,Region VII,0,10984,6596,2772,30,358,2192,33,1880,86,4,5101,145,92712,139610,88,14166.17907,9.923060351,123.6232801,3,365,0,1,0,60.05098325,0,0,0,0,646,-44.58204334,0,502,1004,Low,4388,64.8,0,-288,0,0
2025-Q2,2025,Q2,2,30/06/2025,Region VII,0,11347,6856,2820,29,620,2813,41,2451,87,5,4979,161,95556,144192,87,14166.17907,9.923060351,123.6232801,6,456,0,1,0,60.42125672,0,0,0,0,358,73.18435754,0,489,1624,Low,4491,68.6,0,262,0,0
2025-Q3,2025,Q3,3,30/09/2025,Region VII,0,11695,6834,3243,32,646,3506,51,3400,97,6,5583,125,99696,149375,97,14166.17907,9.923060351,123.6232801,9,548,0,1,0,58.43522873,0,0,0,0,620,4.193548387,0,633,2270,Low,4861,78.6,0,26,0,1
2024-Q1,2024,Q1,1,31/03/2024,Region VIII,0,2152,858,385,31,0,398,36,346,87,3,3409,302,79643,122241,88,20895.94806,11.53691494,124.9534903,3,0,1,0,0,39.86988848,0,0,0,0,,0,0,0,0,Low,1294,66.6,0,0,0,0
2024-Q2,2024,Q2,2,30/06/2024,Region VIII,0,2290,977,352,26,0,270,28,218,81,4,5321,308,84086,127217,88,20895.94806,11.53691494,124.9534903,6,91,1,0,0,42.66375546,0,0,0,0,0,0,0,0,0,Low,1313,59.8,0,0,0,0
2024-Q3,2024,Q3,3,30/09/2024,Region VIII,0,2401,1069,345,24,0,349,33,295,85,2,4595,459,88544,131335,88,20895.94806,11.53691494,124.9534903,9,183,1,0,0,44.52311537,0,0,0,0,0,0,0,0,0,Low,1332,64.2,0,0,0,0
2024-Q4,2024,Q4,4,31/12/2024,Region VIII,0,2501,1037,442,30,114,301,29,253,84,2,4245,419,90854,135026,88,20895.94806,11.53691494,124.9534903,12,275,1,0,0,41.46341463,0,0,0,0,0,0,0,57,114,Low,1464,62,0,114,0,0
2025-Q1,2025,Q1,1,31/03/2025,Region VIII,0,2618,950,614,39,110,320,34,265,83,2,5101,145,92712,139610,88,20895.94806,11.53691494,124.9534903,3,365,0,1,0,36.28724217,0,0,0,0,114,-3.50877193,0,112,224,Low,1668,63.4,0,-4,0,0
2025-Q2,2025,Q2,2,30/06/2025,Region VIII,0,2709,1001,644,39,110,328,33,280,85,2,4979,161,95556,144192,87,20895.94806,11.53691494,124.9534903,6,456,0,1,0,36.95090439,0,0,0,0,110,0,0,110,334,Low,1708,64.2,0,0,0,0
2025-Q3,2025,Q3,3,30/09/2025,Region VIII,0,2861,1212,544,31,114,469,39,440,94,3,5583,125,99696,149375,97,20895.94806,11.53691494,124.9534903,9,548,0,1,0,42.36281021,0,0,0,0,110,3.636363636,0,112,448,Low,1649,72,0,4,0,1
2024-Q1,2024,Q1,1,31/03/2024,Region X,0,3397,1567,901,36,0,384,14,299,78,3,3409,302,79643,122241,88,17412.56439,8.189616229,124.6603851,3,0,1,0,0,46.1289373,0,0,0,0,,0,0,0,0,Low,1830,52.4,0,0,0,0
2024-Q2,2024,Q2,2,30/06/2024,Region X,0,3555,2078,514,20,0,250,12,160,64,3,5321,308,84086,127217,88,17412.56439,8.189616229,124.6603851,6,91,1,0,0,58.45288326,0,0,0,0,0,0,0,0,0,Low,1477,43.2,0,0,0,0
2024-Q3,2024,Q3,3,30/09/2024,Region X,0,3707,2212,539,20,0,242,11,156,64,3,4595,459,88544,131335,88,17412.56439,8.189616229,124.6603851,9,183,1,0,0,59.67089291,0,0,0,0,0,0,0,0,0,Low,1495,42.8,0,0,0,0
2024-Q4,2024,Q4,4,31/12/2024,Region X,0,3830,2187,648,23,193,294,13,206,70,3,4245,419,90854,135026,88,17412.56439,8.189616229,124.6603851,12,275,1,0,0,57.10182768,0,0,0,0,0,0,0,96.5,193,Low,1643,47.2,0,193,0,0
2025-Q1,2025,Q1,1,31/03/2025,Region X,0,4008,2284,672,23,189,265,12,166,63,3,5101,145,92712,139610,88,17412.56439,8.189616229,124.6603851,3,365,0,1,0,56.98602794,0,0,0,0,193,-2.07253886,0,191,382,Low,1724,42.6,0,-4,0,0
2025-Q2,2025,Q2,2,30/06/2025,Region X,0,4156,1960,1104,36,189,389,20,276,71,3,4979,161,95556,144192,87,17412.56439,8.189616229,124.6603851,6,456,0,1,0,47.16073147,0,0,0,0,189,0,0,189,571,Low,2196,50.6,0,0,0,0
2025-Q3,2025,Q3,3,30/09/2025,Region X,0,4353,2481,779,24,193,1474,59,1399,95,4,5583,125,99696,149375,97,17412.56439,8.189616229,124.6603851,9,548,0,1,0,56.99517574,0,0,0,0,189,2.116402116,0,191,764,Low,1872,80.6,0,4,0,1
2024-Q1,2024,Q1,1,31/03/2024,Region XI,0,7154,4880,1515,24,0,1701,29,1547,91,3,3409,302,79643,122241,88,14686.55685,7.103556853,125.7779001,3,0,1,0,0,68.2135868,0,0,0,0,,0,0,0,0,Low,2274,66.2,0,0,0,0
2024-Q2,2024,Q2,2,30/06/2024,Region XI,0,7494,5215,1638,24,0,2404,41,2164,90,6,5321,308,84086,127217,88,14686.55685,7.103556853,125.7779001,6,91,1,0,0,69.58900454,0,0,0,0,0,0,0,0,0,Low,2279,70.4,0,0,0,0
2024-Q3,2024,Q3,3,30/09/2024,Region XI,0,7795,5632,1467,21,0,2404,43,2164,90,6,4595,459,88544,131335,88,14686.55685,7.103556853,125.7779001,9,183,1,0,0,72.25144323,0,0,0,0,0,0,0,0,0,Low,2163,71.2,0,0,0,0
2024-Q4,2024,Q4,4,31/12/2024,Region XI,0,8045,5779,1578,21,316,2482,43,2231,90,6,4245,419,90854,135026,88,14686.55685,7.103556853,125.7779001,12,275,1,0,0,71.83343692,0,0,0,0,0,0,0,158,316,Low,2266,71.2,0,316,0,0
2025-Q1,2025,Q1,1,31/03/2025,Region XI,0,8350,5905,1760,23,314,2014,34,1831,91,6,5101,145,92712,139610,88,14686.55685,7.103556853,125.7779001,3,365,0,1,0,70.71856287,0,0,0,0,316,-0.632911392,0,315,630,Low,2445,68.2,0,-2,0,0
2025-Q2,2025,Q2,2,30/06/2025,Region XI,0,8599,5880,1962,25,316,2702,46,2416,89,5,4979,161,95556,144192,87,14686.55685,7.103556853,125.7779001,6,456,0,1,0,68.38004419,0,0,0,0,314,0.636942675,0,315,946,Low,2719,71.8,0,2,0,0
2025-Q3,2025,Q3,3,30/09/2025,Region XI,0,8932,5969,2232,27,316,3340,56,3208,96,6,5583,125,99696,149375,97,14686.55685,7.103556853,125.7779001,9,548,0,1,0,66.82713838,0,0,0,0,316,0,0,316,1262,Low,2963,80,0,0,0,1
2024-Q1,2024,Q1,1,31/03/2024,Region XII,0,3498,2198,913,29,0,682,28,603,88,3,3409,302,79643,122241,88,18403.51785,6.622649097,124.8112493,3,0,1,0,0,62.83590623,0,0,0,0,0,0,0,0,0,Low,1300,64,0,0,0,0
2024-Q2,2024,Q2,2,30/06/2024,Region XII,0,3692,2369,887,27,0,784,30,682,87,4,5321,308,84086,127217,88,18403.51785,6.622649097,124.8112493,6,91,1,0,0,64.16576381,0,0,0,0,0,0,0,0,0,Low,1323,64.2,0,0,0,0
2024-Q3,2024,Q3,3,30/09/2024,Region XII,0,3794,2844,632,18,0,1032,36,846,82,2,4595,459,88544,131335,88,18403.51785,6.622649097,124.8112493,9,183,1,0,0,74.96046389,0,0,0,0,0,0,0,0,0,Low,950,63.6,0,0,0,0
2024-Q4,2024,Q4,4,31/12/2024,Region XII,0,3959,2884,809,22,153,1093,38,879,80,4,4245,419,90854,135026,88,18403.51785,6.622649097,124.8112493,12,275,1,0,0,72.84667845,0,0,0,0,0,0,0,76.5,153,Low,1075,63.2,0,153,0,0
2025-Q1,2025,Q1,1,31/03/2025,Region XII,0,4137,3145,794,20,172,977,31,774,79,3,5101,145,92712,139610,88,18403.51785,6.622649097,124.8112493,3,365,0,1,0,76.02127145,0,0,0,0,153,12.41830065,0,162.5,325,Low,992,59.8,0,19,0,0
2025-Q2,2025,Q2,2,30/06/2025,Region XII,0,4393,3284,872,21,153,763,23,580,76,4,4979,161,95556,144192,87,18403.51785,6.622649097,124.8112493,6,456,0,1,0,74.75529251,0,0,0,0,172,-11.04651163,0,162.5,478,Low,1109,54.8,0,-19,0,0
2025-Q3,2025,Q3,3,30/09/2025,Region XII,0,4628,3438,720,17,153,807,23,726,90,4,5583,125,99696,149375,97,18403.51785,6.622649097,124.8112493,9,548,0,1,0,74.28694901,0,0,0,0,153,0,0,153,631,Low,1190,63.2,0,0,0,1
